学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,9200411,教育の法と制度," 1.0",-,-,A,C,2024,通常
,,9200521,学校経営概説," 1.0",-,-,A+,C,2024,通常
,,9803161,教職論II," 1.0",-,-,A+,C,2024,通常
,,AB50E11,言語分析入門," 1.0",-,-,A+,C,2024,通常
,,AC56041,表現文化領域比較文化研究," 1.0",-,-,B,C,2024,通常
,,BC50111,国際学I," 1.0",-,-,A+,B,2024,通常
,,BC50131,国際学III," 1.0",-,-,A+,B,2024,通常
,,CA10061,障害科学II," 2.0",-,-,A+,C,2024,通常
,,FH61141,社会と最適化," 1.0",-,-,B,C,2024,通常
,,GA12301,システムと情報科学," 1.0",-,-,A+,C,2024,通常
,,GA14121,知識情報概論," 1.0",-,-,A,C,2024,通常
,,GA14301,図書館概論," 2.0",-,-,A,C,2024,通常
,,GA18232,プログラミング入門A," 2.0",-,-,B,C,2024,通常
,,GA18332,プログラミング入門B," 1.0",-,-,A,C,2024,通常
,,HE35071,医療科学概論," 1.0",-,-,A+,C,2024,通常
,,1130032,ファーストイヤーセミナー," 1.0",-,-,P,C,2024,通常
,,1228321,学問への誘い," 1.0",-,-,P,C,2024,通常
,,2140163,基礎体育フィットネストレーニング(春)," 0.5",-,-,A,C,2024,通常
,,31HB032,English Reading Skills I," 1.0",-,-,A+,C,2024,通常
,,31JB032,English Presentation Skills I," 1.0",-,-,B,C,2024,通常
,,34H2012,基礎中国語AI," 1.0",-,-,A+,C,2024,通常
,,34J2012,基礎中国語BI," 1.0",-,-,A+,C,2024,通常
,,5102011,国語I," 1.0",-,-,B,C,2024,通常
,,6127301,情報リテラシー(講義)," 1.0",-,-,A,C,2024,通常
,,6427102,情報リテラシー(演習)," 1.0",-,-,A,C,2024,通常
,,9200111,現代教育と教育理念," 1.0",-,-,A+,C,2024,通常
,,9200211,教育史概論," 1.0",-,-,B,C,2024,通常
,,9803151,教職論I," 1.0",-,-,A+,C,2024,通常
,,AB50B11,史学入門," 1.0",-,-,B,C,2024,通常
,,AB50C11,考古学・民俗学入門," 1.0",-,-,A+,C,2024,通常
,,AC56031,フィールド文化領域比較文化研究," 1.0",-,-,A,C,2024,通常
,,AE56A21,共生のための日本語教育," 1.0",-,-,B,C,2024,通常
,,AE56A31,共生のための人類学," 1.0",-,-,A+,C,2024,通常
,,BB05031,政治学の最前線," 1.0",-,-,A,C,2024,通常
,,BB05041,経済学の最前線," 1.0",-,-,B,C,2024,通常
,,BB20001,法学概論," 2.0",-,-,A,B,2024,通常
,,BC50121,国際学II," 1.0",-,-,A,B,2024,通常
,,FH61151,都市計画入門," 1.0",-,-,A+,C,2024,通常
,,GA12401,情報科学概論," 1.0",-,-,A+,C,2024,通常
,,GA14201,知識情報システム概説," 1.0",-,-,A+,C,2024,通常
