"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"","","YAX2031","芸術と社会"," 1.0","-","-","B","C","2024","通常"
"","","2233203","応用体育ニュースポーツ(春)"," 0.5","-","-","A","C","2024","通常"
"","","AC56031","フィールド文化領域比較文化研究"," 1.0","-","-","C","C","2024","通常"
"","","GC27701","ACPC連携講座: ライブ・コンテンツ論"," 2.0","-","-","B","C","2024","通常"
"","","GE10911","統計"," 2.0","-","-","C","B","2024","通常"
"","","GE11022","知識情報演習I-2"," 2.0","-","-","A","B","2024","通常"
"","","GE11642","専門英語A1"," 1.0","-","-","C","C","2024","通常"
"","","GE20601","情報探索論"," 2.0","-","-","B","B","2024","通常"
"","","GE20701","質的調査法"," 2.0","-","-","C","B","2024","通常"
"","","GE21001","知識資源組織化論"," 2.0","-","-","B","B","2024","通常"
"","","GE21101","データベース概説"," 2.0","-","-","B","B","2024","通常"
"","","GE21401","メディア社会学"," 2.0","-","-","B","B","2024","通常"
"","","GE21701","生涯学習と図書館"," 2.0","-","-","A","B","2024","通常"
"","","GE22701","アーカイブズ基礎"," 2.0","-","-","B","B","2024","通常"
"","","1226051","筑波大学特別講義―大学と学問―"," 1.0","-","-","A","C","2023","通常"
"","","2140153","基礎体育フィットネストレーニング(秋)"," 0.5","-","-","A","C","2023","通常"
"","","31KF122","English Reading Skills II"," 1.0","-","-","A+","C","2023","通常"
"","","31LF122","English Presentation Skills II"," 1.0","-","-","B","C","2023","通常"
"","","34K5032","基礎中国語AII"," 1.0","-","-","B","C","2023","通常"
"","","34L5032","基礎中国語BII"," 1.0","-","-","C","C","2023","通常"
"","","5208021","国語II"," 1.0","-","-","B","C","2023","通常"
"","","6526102","データサイエンス"," 2.0","-","-","A","C","2023","通常"
"","","AC56021","英米・ヨーロッパ領域比較文化研究"," 1.0","-","-","C","C","2023","通常"
"","","AE56A11","共生のための社会言語学"," 1.0","-","-","B","C","2023","通常"
"","","GA12301","システムと情報科学"," 1.0","-","-","A","B","2023","通常"
"","","GA13501","コンテンツ入門"," 2.0","-","-","A+","B","2023","通常"
"","","GA14301","図書館概論"," 2.0","-","-","B","B","2023","通常"
"","","GA18232","プログラミング入門A"," 2.0","-","-","B","B","2023","通常"
"","","GA18332","プログラミング入門B"," 1.0","-","-","A","B","2023","通常"
"","","GE12122","アカデミックスキルズ"," 1.0","-","-","A","C","2023","通常"
"","","W160511","スポーツの技術を自然科学から考える"," 1.0","-","-","B","C","2023","通常"
"","","1120202","ファーストイヤーセミナー"," 1.0","-","-","P","C","2023","通常"
"","","1222021","セルフマネジメント・ケア"," 1.0","-","-","A","C","2023","通常"
"","","1226021","心と体に安全で快適なキャンパスI-こころのヘルスリテラシー講座-"," 1.0","-","-","B","C","2023","通常"
"","","1227641","学問への誘い"," 1.0","-","-","P","C","2023","通常"
"","","2133163","基礎体育ニュースポーツ(春)"," 0.5","-","-","A","C","2023","通常"
"","","31HF122","English Reading Skills I"," 1.0","-","-","A+","C","2023","通常"
"","","31JF122","English Presentation Skills I"," 1.0","-","-","B","C","2023","通常"
"","","34H5032","基礎中国語AI"," 1.0","-","-","A","C","2023","通常"
"","","34J5032","基礎中国語BI"," 1.0","-","-","B","C","2023","通常"
"","","5108041","国語I"," 1.0","-","-","A","C","2023","通常"
"","","6126101","情報リテラシー(講義)"," 1.0","-","-","A","B","2023","通常"
"","","6426202","情報リテラシー(演習)"," 1.0","-","-","A","B","2023","通常"
"","","BC50121","国際学II"," 1.0","-","-","B","C","2023","通常"
"","","CC11211","心理学概論"," 2.0","-","-","D","C","2023","通常"
"","","EE69991","地学序説"," 1.0","-","-","B","C","2023","通常"
"","","GA12111","知能と情報科学"," 1.0","-","-","B","B","2023","通常"
"","","GA12401","情報科学概論"," 1.0","-","-","A","B","2023","通常"
"","","GA13401","情報メディア入門"," 1.0","-","-","A+","B","2023","通常"
"","","GA14111","知識情報概論"," 1.0","-","-","A+","B","2023","通常"
"","","GA14201","知識情報システム概説"," 1.0","-","-","B","B","2023","通常"
"","","GA15141","情報数学A"," 2.0","-","-","C","B","2023","通常"
