"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"","","GE11732","専門英語A2"," 1.0","-","-","A+","C","2024","通常"
"","","GE21201","コンピュータシステムとネットワーク"," 2.0","-","-","B","B","2024","通常"
"","","GE21301","自然言語解析基礎"," 2.0","-","-","A+","B","2024","通常"
"","","GE22201","機械学習"," 2.0","-","-","A+","B","2024","通常"
"","","GE22601","ユーザ研究実験法"," 2.0","-","-","A","B","2024","通常"
"","","GE33053","知的探求の世界I-5"," 2.0","A","A","A","B","2024","通常"
"","","2248263","応用体育リフレッシュ体操(春)"," 0.5","-","-","A+","C","2024","通常"
"","","FG16043","コンテンツ工学システム"," 1.0","-","-","A","C","2024","通常"
"","","GA40503","ビジネスシステムデザイン基礎I"," 2.0","-","-","A","A","2024","集中"
"","","GE10911","統計"," 2.0","-","-","A","B","2024","通常"
"","","GE11022","知識情報演習I-2"," 2.0","-","-","A+","B","2024","通常"
"","","GE11632","専門英語A1"," 1.0","-","-","A+","C","2024","通常"
"","","GE20601","情報探索論"," 2.0","-","-","A+","B","2024","通常"
"","","GE20701","質的調査法"," 2.0","-","-","B","B","2024","通常"
"","","GE21001","知識資源組織化論"," 2.0","-","-","A","B","2024","通常"
"","","GE21101","データベース概説"," 2.0","-","-","A+","B","2024","通常"
"","","GE21701","生涯学習と図書館"," 2.0","-","-","B","B","2024","通常"
"","","GE60201","テクニカルコミュニケーション"," 2.0","-","-","A+","A","2024","通常"
"","","2148173","基礎体育リフレッシュ体操(秋)"," 0.5","-","-","A+","C","2023","通常"
"","","31KF022","English Reading Skills II"," 1.0","-","-","A","C","2023","通常"
"","","31LF022","English Presentation Skills II"," 1.0","-","-","A","C","2023","通常"
"","","34K5032","基礎中国語AII"," 1.0","-","-","A+","C","2023","通常"
"","","6526102","データサイエンス"," 2.0","-","-","A+","C","2023","通常"
"","","CA10201","人間学Ⅱ"," 1.0","-","-","P","C","2023","通常"
"","","GA10101","情報社会と法制度"," 2.0","-","-","A+","B","2023","通常"
"","","GA12301","システムと情報科学"," 1.0","-","-","A","B","2023","通常"
"","","GA13501","コンテンツ入門"," 2.0","-","-","A+","B","2023","通常"
"","","GA14301","図書館概論"," 2.0","-","-","A+","B","2023","通常"
"","","GA15341","微分積分A"," 2.0","-","-","D","B","2023","通常"
"","","GA18232","プログラミング入門A"," 2.0","-","-","A+","B","2023","通常"
"","","GA18332","プログラミング入門B"," 1.0","-","-","A+","B","2023","通常"
"","","GE12122","アカデミックスキルズ"," 1.0","-","-","A","C","2023","通常"
"","","HE21001","医学史"," 1.0","-","-","A+","C","2023","通常"
"","","W160511","スポーツの技術を自然科学から考える"," 1.0","-","-","A","C","2023","通常"
"","","1120202","ファーストイヤーセミナー"," 1.0","-","-","P","C","2023","通常"
"","","1222021","セルフマネジメント・ケア"," 1.0","-","-","A","C","2023","通常"
"","","1226021","心と体に安全で快適なキャンパスI-こころのヘルスリテラシー講座-"," 1.0","-","-","A","C","2023","通常"
"","","1227641","学問への誘い"," 1.0","-","-","P","C","2023","通常"
"","","2136183","基礎体育バレーボール(春)"," 0.5","-","-","A","C","2023","通常"
"","","31HF022","English Reading Skills I"," 1.0","-","-","A","C","2023","通常"
"","","31JF022","English Presentation Skills I"," 1.0","-","-","A+","C","2023","通常"
"","","34H5032","基礎中国語AI"," 1.0","-","-","A+","C","2023","通常"
"","","34J5032","基礎中国語BI"," 1.0","-","-","A","C","2023","通常"
"","","6126101","情報リテラシー(講義)"," 1.0","-","-","A","B","2023","通常"
"","","6426202","情報リテラシー(演習)"," 1.0","-","-","B","B","2023","通常"
"","","BC50121","国際学II"," 1.0","-","-","A","C","2023","通常"
"","","GA12111","知能と情報科学"," 1.0","-","-","B","B","2023","通常"
"","","GA12201","計算と情報科学"," 1.0","-","-","A","B","2023","通常"
"","","GA12401","情報科学概論"," 1.0","-","-","A+","B","2023","通常"
"","","GA13401","情報メディア入門"," 1.0","-","-","A+","B","2023","通常"
"","","GA14111","知識情報概論"," 1.0","-","-","A+","B","2023","通常"
"","","GA14201","知識情報システム概説"," 1.0","-","-","A","B","2023","通常"
"","","GA15141","情報数学A"," 2.0","-","-","B","B","2023","通常"
"","","GA15241","線形代数A"," 2.0","-","-","B","B","2023","通常"
"","","W160531","スポーツの技術を人文社会科学から考える"," 1.0","-","-","A+","C","2023","通常"
"","","YAX2011","アート&デザイン入門"," 1.0","-","-","B","C","2023","通常"
