学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,2140153,基礎体育フィットネストレーニング(秋)," 0.5",-,-,A,C,2023,通常
,,31KG072,English Reading Skills II," 1.0",-,-,B,C,2023,通常
,,31LG072,English Presentation Skills II," 1.0",-,-,C,C,2023,通常
,,6524102,データサイエンス," 2.0",-,-,A+,C,2023,通常
,,8310005,海外先進大学スポーツマネジメント研修," 1.0",-,-,A+,C0,2023,集中
,,8310201,スポーツが変われば、大学が変わる," 1.0",-,-,A,C0,2023,通常
,,AE56A11,共生のための社会言語学," 1.0",-,-,A,C0,2023,通常
,,GA12301,システムと情報科学," 1.0",-,-,A,B,2023,通常
,,GA13501,コンテンツ入門," 2.0",-,-,A,B,2023,通常
,,GA14301,図書館概論," 2.0",-,-,A,B,2023,通常
,,GA15321,微分積分A," 2.0",-,-,A+,B,2023,通常
,,GA18212,プログラミング入門A," 2.0",-,-,A+,B,2023,通常
,,GA18312,プログラミング入門B," 1.0",-,-,A+,B,2023,通常
,,GB10524,微分方程式," 2.0",-,-,A,B,2023,通常
,,1118302,ファーストイヤーセミナー," 1.0",-,-,P,C,2023,通常
,,1227591,学問への誘い," 1.0",-,-,P,C,2023,通常
,,2137123,基礎体育ハンドボール(春)," 0.5",-,-,A,C,2023,通常
,,31HG072,English Reading Skills I," 1.0",-,-,B,C,2023,通常
,,31JG072,English Presentation Skills I," 1.0",-,-,A,C,2023,通常
,,6124101,情報リテラシー(講義)," 1.0",-,-,A,C,2023,通常
,,6424102,情報リテラシー(演習)," 1.0",-,-,B,C,2023,通常
,,BC50121,国際学II," 1.0",-,-,A+,C0,2023,通常
,,FBA1451,数学概論," 1.0",-,-,P,C0,2023,通常
,,FCB1201,力学1," 1.0",-,-,A,C0,2023,通常
,,FCB1401,物理学概論," 1.0",-,-,P,C0,2023,通常
,,GA12111,知能と情報科学," 1.0",-,-,B,B,2023,通常
,,GA12201,計算と情報科学," 1.0",-,-,A+,B,2023,通常
,,GA12401,情報科学概論," 1.0",-,-,A+,B,2023,通常
,,GA13401,情報メディア入門," 1.0",-,-,A+,B,2023,通常
,,GA14111,知識情報概論," 1.0",-,-,B,B,2023,通常
,,GA14201,知識情報システム概説," 1.0",-,-,A+,B,2023,通常
,,GA15121,情報数学A," 2.0",-,-,B,B,2023,通常
,,GA15221,線形代数A," 2.0",-,-,C,B,2023,通常
,,GB11601,確率論," 2.0",-,-,C,B,2023,通常
,,W160531,スポーツの技術を人文社会科学から考える," 1.0",-,-,A,C0,2023,通常
,,W870061,体育・スポーツ心理学," 2.0",-,-,A,C0,2023,通常
