学籍番号,学生氏名,科目番号,"科目名 ",単位数,春学期,秋学期,総合評価,科目区分,開講年度,開講区分
,,W815011,体育科学シンポジウム," 1.0",-,-,B,B,2023,通常
,,W870041,スポーツ社会学," 2.0",-,-,B,B,2023,通常
,,W880051,個別コーチング学," 1.0",-,-,A,B,2023,通常
,,W880061,個別トレーニング学," 1.0",-,-,C,B,2023,通常
,,W890031,運動生理学," 1.0",-,-,B,B,2023,通常
,,W890041,運動生化学," 1.0",-,-,A,B,2023,通常
,,W890051,運動栄養学I," 1.0",-,-,A,B,2023,通常
,,W910215,ダンス," 1.0",-,-,A+,B,2023,通常
,,W971825,弓道," 1.0",-,-,C,B,2023,通常
,,1124082,ファーストイヤーセミナー," 1.0",-,-,P,C,2023,通常
,,1227841,学問への誘い," 1.0",-,-,P,C,2023,通常
,,31HF062,English Reading Skills I," 1.0",-,-,A,C,2023,通常
,,31JF062,English Presentation Skills I," 1.0",-,-,C,C,2023,通常
,,5107021,国語I," 1.0",-,-,C,C,2023,通常
,,6120401,情報リテラシー(講義)," 1.0",-,-,A+,C,2023,通常
,,6420502,情報リテラシー(演習)," 1.0",-,-,B,C,2023,通常
,,9803251,教職論I," 1.0",-,-,A,D,2023,通常
,,BB00301,日本国憲法," 2.0",-,-,A,5Y,2023,集中
,,W150011,スポーツ哲学," 1.0",-,-,B,A,2023,通常
,,W170011,保健体育科(体力づくり運動)指導法," 1.0",-,-,B,A,2023,通常
,,W870061,体育・スポーツ心理学," 2.0",-,-,A,B,2023,通常
,,W890011,解剖学," 1.0",-,-,A+,B,2023,通常
,,W890021,生理学," 1.0",-,-,A,B,2023,通常
,,W890061,スポーツバイオメカニクスI," 1.0",-,-,A+,B,2023,通常
,,W930515,水泳競技," 1.0",-,-,A,B,2023,通常
,,W992215,テーピング・マッサージ," 1.0",-,-,A,B,2023,通常
